"last_name, first_name","player_id","year","player_age","pa","double","home_run","k_percent","bb_percent","xwoba","exit_velocity_avg","out_zone_swing_miss","pull_percent","opposite_percent","groundballs_percent"
"Rogers, Jake",668670,2024,29,337,16,10,29.4,6.5,".297","89",87,44.1,17.4,40.4
"Bleday, JJ",668709,2024,26,642,43,20,19.5,10.4,".319","88.5",157,41.3,22.8,34.8
"Steer, Spencer",668715,2024,26,656,34,20,20.9,11,".315","88",158,42.8,24.6,37.8
"Reynolds, Bryan",668804,2024,29,692,29,24,22.5,8.2,".350","89.9",220,35.2,27.3,46.1
"McCann, Kyle",668832,2024,26,157,4,5,37.6,10.2,".274","89.6",57,39.5,23.5,45.7
"Martin, Austin",668885,2024,25,257,18,1,18.3,7.8,".297","87.2",38,46.3,16.5,43.1
"Vientos, Mark",668901,2024,24,454,22,27,29.7,7.3,".331","91.2",155,36,20.8,44.2
"Lewis, Royce",668904,2024,25,325,16,16,22.8,8.6,".320","87.1",91,46.6,19.3,36.8
"Turang, Brice",668930,2024,24,619,24,7,17,8.1,".297","87",84,24,34.2,53.7
"Rutschman, Adley",668939,2024,26,638,21,19,16.1,9.1,".315","88.2",103,41.5,23.6,34.9
"Rojas, Josh",668942,2024,30,476,19,8,22.7,9.7,".293","88.2",105,38.2,24.3,40.4
"Mitchell, Garrett",669003,2024,25,224,12,8,31.7,11.2,".312","88.8",51,39.4,21.3,56.7
"Melendez Jr., MJ",669004,2024,25,451,23,17,25.1,7.8,".317","91.1",117,44.1,22.4,41.8
"Marsh, Brandon",669016,2024,26,476,17,16,32.4,10.5,".324","91.6",135,37.4,30,39.3
"Stowers, Kyle",669065,2024,26,209,11,3,35.4,6.2,".290","91",78,36.1,20.2,48.7
"Langeliers, Shea",669127,2024,26,534,18,29,27.2,7.7,".328","91.3",156,45.2,16,37.6
"Campusano, Luis",669134,2024,25,299,13,8,13.7,6.7,".289","87.7",54,38.4,19,45.1
"Murphy, Sean",669221,2024,29,264,5,10,25.4,10.2,".308","88",66,50.9,18.6,53.3
"Senzel, Nick",669222,2024,29,267,11,7,22.8,10.5,".298","84",56,35.2,25,42
"Wells, Austin",669224,2024,24,414,18,13,21,11.4,".339","88.4",101,37.8,28.7,37.5
"Malloy, Justyn-Henry",669234,2024,24,230,7,8,37,10,".267","87.6",63,44.5,26.1,36.1
"Edman, Tommy",669242,2024,29,153,5,6,19.6,7.2,".266","87.6",35,38.7,28.8,45
"Smith, Will",669257,2024,29,544,24,20,19.3,9.4,".331","89.4",103,31.9,26.4,33
"Suwinski, Jack",669261,2024,25,277,8,9,28.5,9.7,".292","88.9",70,43.5,23.5,46.5
"Espinal, Santiago",669289,2024,29,391,12,9,13.8,6.1,".288","85.9",59,37,32.5,39.5
"Miranda, Jose",669304,2024,26,429,28,9,15.4,4.2,".306","88.9",116,40.1,20.9,38.6
"Gorman, Nolan",669357,2024,24,402,15,19,37.6,8.5,".307","88.5",147,40.3,17.1,31.9
"Edwards, Xavier",669364,2024,24,303,12,1,17.2,10.9,".296","86.1",42,24.8,29.8,52.3
"Burger, Jake",669394,2024,28,579,23,29,25.9,5.4,".338","91.3",198,42.4,20.6,44
"Allen, Nick",669397,2024,25,105,4,1,19,4.8,".220","84.4",17,32.5,27.5,57.5
"Schmitt, Casey",669477,2024,25,113,4,6,22.1,3.5,".306","89.2",35,43.4,24.1,39.8
"Smith, Josh",669701,2024,26,592,30,13,20.4,7.8,".304","87.8",119,43.7,20.4,39.6
"Triolo, Jared",669707,2024,26,446,10,9,26.5,9.4,".289","88.4",109,37.4,26,41.3
"Hays, Austin",669720,2024,28,255,18,5,23.1,3.5,".287","88.9",78,44.7,20.1,39.7
"Call, Alex",669743,2024,29,113,9,3,16.8,10.6,".317","88",15,42.5,28.7,45
"Toglia, Michael",669911,2024,25,458,14,25,32.1,11.8,".358","92.1",172,41.6,21.2,35.3
"Lopez, Nicky",670032,2024,29,445,12,1,15.1,8.3,".268","85",77,29.7,30.9,56.7
"Raley, Luke",670042,2024,29,455,19,22,29.7,5.9,".316","90.1",152,44,21.2,47.3
"Mastrobuoni, Miles",670156,2024,28,106,3,0,16,6.6,".294","87.4",16,26.8,26.8,43.9
"Wallner, Matt",670242,2024,26,261,17,13,36.4,9.2,".358","92.8",79,49.2,15.9,31
"Alvarez, Yordan",670541,2024,27,635,34,35,15,10.9,".411","93.1",136,36.4,25.2,33.4
"Paredes, Isaac",670623,2024,25,641,25,19,16.4,11.9,".304","85",123,51.9,18.7,30.9
"Walls, Taylor",670764,2024,27,252,5,1,26.6,12.3,".252","86.1",49,40.3,23.4,37
"Friedl Jr., TJ",670770,2024,28,341,5,13,15.2,7.6,".292","86",55,47.4,19.9,38.2
"Herrera, Iván",671056,2024,24,259,12,5,20.5,9.7,".366","89.3",62,34.8,26.4,43.8
"Casas, Triston",671213,2024,24,243,8,13,31.7,12.3,".330","90.2",57,34.8,23.7,43.7
"Ramos, Heliot",671218,2024,24,518,23,22,26.1,7.1,".338","91.5",161,30.2,28.8,43.3
"García, Luis",671277,2024,24,528,25,18,16.3,5.1,".331","89.1",129,26.3,27.5,48.4
"Freeman, Tyler",671289,2024,25,383,14,7,13.8,7.3,".302","87.7",61,39.9,24.4,45.9
"Butler, Lawrence",671732,2024,23,451,24,22,23.9,7.8,".342","91.1",113,31.2,26.6,43.5
"Harris II, Michael",671739,2024,23,470,14,16,20,4.9,".344","90.5",122,40.7,22.6,49
"Bailey, Patrick",672275,2024,25,448,16,8,22.3,8.7,".319","91.3",101,37.2,23.6,41.1
"Siani, Michael",672279,2024,24,334,7,2,27.5,6.3,".243","84.4",79,33.5,30.7,61
"Kelenic, Jarred",672284,2024,24,449,18,15,29.6,7.1,".308","89.8",148,43.5,21.6,35.3
"Arias, Gabriel",672356,2024,24,161,9,3,32.9,3.7,".274","89.7",65,34.7,22.8,51.5
"Kirk, Alejandro",672386,2024,25,386,19,5,13.2,9.1,".324","89.4",62,29.9,31.5,46
"Moreno, Gabriel",672515,2024,24,351,18,5,14.8,11.7,".325","90",46,27.3,30.9,49.6
"Garcia, Maikel",672580,2024,24,626,27,7,16.5,6.7,".300","90.4",75,29.7,29.1,49.5
"Lopez, Otto",672640,2024,25,434,23,6,17.3,5.8,".313","88",106,31.3,25,54.2
"Perdomo, Geraldo",672695,2024,24,388,21,3,14.9,9.3,".281","87",39,36.4,28.2,44
"Pérez, Wenceel",672761,2024,24,425,16,9,21.6,7.5,".291","88.4",85,39.7,22.7,36
"Sosa, Lenyn",672820,2024,24,369,13,8,20.9,3.3,".316","89",83,30.7,28.5,40.4
"Diaz, Yainer",673237,2024,25,619,29,16,17.3,3.9,".339","90.2",196,38.3,21.2,51.2
"Robert Jr., Luis",673357,2024,26,425,19,14,33.2,6.6,".279","90.1",180,34.4,27.3,38.7
"Kim, Ha-Seong",673490,2024,28,470,16,11,16.4,12.3,".313","87.9",43,42.3,22.8,41.1
