"last_name, first_name","player_id","year","whiff_percent"
"Valdez, Framber",664285,2022,25.8
"Eovaldi, Nathan",543135,2024,26.8
"Gray, Jon",592351,2023,26.4
"Ray, Robbie",592662,2022,30
"Houck, Tanner",656557,2024,22.6
"Cease, Dylan",656302,2022,33.3
"Sears, JP",676664,2023,24.8
"Ohtani, Shohei",660271,2023,30.8
"Suárez, Albert",544150,2024,24.6
"Giolito, Lucas",608337,2022,28.5
"Hendricks, Kyle",543294,2024,18.9
"Stroman, Marcus",573186,2023,22.4
"Gilbert, Logan",669302,2023,26.4
"Rea, Colin",607067,2023,24
"Senga, Kodai",673540,2023,29.7
"Garcia, Luis",677651,2022,29.2
"Steele, Justin",657006,2022,24
"Gausman, Kevin",592332,2022,29.4
"Williams, Trevor",592866,2023,19
"Spence, Mitch",687765,2024,22.5
"Greene, Hunter",668881,2024,29.7
"Luzardo, Jesús",666200,2023,31.4
"Kluber, Corey",446372,2022,23.9
"Giolito, Lucas",608337,2023,28.8
"Syndergaard, Noah",592789,2022,20.2
"Flaherty, Jack",656427,2023,26.6
"Webb, Logan",657277,2024,20.8
"Skenes, Paul",694973,2024,28.7
"Brown, Hunter",686613,2023,24.8
"Verlander, Justin",434378,2023,22.5
"Thompson, Zach",605507,2022,24.1
"Suárez, Ranger",624133,2023,23.1
"Gomber, Austin",596295,2022,22.1
"Mikolas, Miles",571945,2024,16.4
"Lorenzen, Michael",547179,2024,22.8
"Valdez, Framber",664285,2023,26.8
"Abbott, Andrew",671096,2024,22.6
"Waldichuk, Ken",686610,2023,25.1
"Burnes, Corbin",669203,2024,28.6
"Canning, Griffin",656288,2023,29.1
"Wacha, Michael",608379,2023,24.6
"Stroman, Marcus",573186,2024,20.4
"Nelson, Ryne",669194,2023,20.3
"Marsh, Alec",679525,2024,23.5
"Arrighetti, Spencer",681293,2024,27.7
"Webb, Logan",657277,2023,20.8
"Manoah, Alek",666201,2022,24.9
"Miller, Bryce",682243,2023,24.3
"Springs, Jeffrey",605488,2022,29.6
"Berríos, José",621244,2024,21.1
"Walker, Taijuan",592836,2023,20.5
"Oviedo, Johan",670912,2023,26
"Wacha, Michael",608379,2022,20.7
"Verlander, Justin",434378,2022,24.2
"Anderson, Tyler",542881,2024,27.8
"Gore, MacKenzie",669022,2024,28.6
